Name,ID number,Email,HW 1,HW 2,HW 3,HW 4,HW 5,HW 6,HW 7,HW 8,HW 9,HW 10,Quiz,Test
Rick Sanchez,11111,@.com,10,10,10,10,10,10,10,10,10,10,30,45
Bojack Horseman,92834,@.com,NaN,4,5.5,5,6,8,8.5,8,8,9,18,43
Archer Sterling,17273,@.com,8,7,8,6.5,7.5,6,8,9,9,10,25,41
Maximus Decimus Meridius,48730,@.com,6,5,5.5,5,4,9,9.5,9,NaN,8,19.5,40.5
Al Simmons,98739,@.com,9,8,7,8.5,7,8,7.5,8.5,9,9.5,20,41.5
Bruce Wayne,34854,@.com,7,7,6,8.5,6,7,9,9,9.5,9,21,36
Remy Lebeau,74932,@.com,8,7,6,7,6.5,7.5,9.5,5,10,10,13,27
Mrs. Beasley,87732,@.com,7.5,7,7,9,9,10,10,10,9,9.5,16,39
Daria Morgendorffer,32456,@.com,8.5,8,NaN,8,9,8.5,10,9,10,8.5,25,38.5
Darth Plagueis,98702,@.com,2.5,6,5,8,7.5,9,9.5,9.5,9,8,23,36
Eric Cartman,78402,@.com,6.5,6,7,8.5,6.5,8,8,8,8,9,22.5,34
Jean Grey,29384,@.com,2,2.5,3,6,4,5,7.5,NaN,10,10,24,20
Mary Jane,10102,@.com,2,3,2,5,5,6,8,6.5,9.5,9.5,13,31
Harleen Quinzel,39204,@.com,3,3.5,7.5,9,8,9,9,8.5,10,8.5,8,37.5
Cammy White,88494,@.com,1,2,3,NaN,5,4,6,NaN,7,9,15,21
Princess Jasmine,79933,@.com,0,1.5,2.5,3,2,8,5.5,7,5.5,8,14.5,19
Dr. Zaius,93293,@.com,8,9,9.5,10,9,10,9.5,10,9,8.5,16.5,43.5
Thomas Light,66666,@.com,9,9,10,9.5,9,10,9,9.5,9,9.5,28,43.5
Diddy Kong,93821,@.com,NaN,9,10,9,10,10,9.5,10,10,10,27.5,40
Samus Aran,22442,@.com,9,8.5,8.5,9,7,NaN,8.5,9,9.5,9,26,38
Angela Moore Hunter,38393,@.com,7,9,9,8,8,8.5,9,8,10,8.5,24,38
Mr. Robot,78843,@.com,4,5,2.5,5,4.5,6.5,6,2,9,7,20.5,36
Invader Zim,20496,@.com,5,6,8,6.5,7.5,4,8,7.5,2,1,11,36.5
Helga Potaki,43743,@.com,1,2,3,4,5,6,7,8,9,10,15,36
